"lat_bin","lon_bin","fire_count","avg_frp","year"
-44,144,259,17.02,2020
-44,146,1015,18.36,2020
-44,148,9,2.6,2020
-42,142,3,20.26,2020
-42,144,1125,10.35,2020
-42,146,2837,13.93,2020
-42,148,876,17.32,2020
-40,140,999,9.23,2020
-40,142,655,12.21,2020
-40,144,247,5.44,2020
-40,146,318,8.05,2020
-40,148,150,25.27,2020
-38,136,267,89.7,2020
-38,138,255,14.68,2020
-38,140,2491,13.8,2020
-38,142,2767,14.68,2020
-38,144,1730,11.51,2020
-38,146,25828,19.44,2020
-38,148,72899,15.36,2020
-38,150,1474,7.76,2020
-36,114,1887,9.17,2020
-36,116,3498,10.89,2020
-36,118,624,14.24,2020
-36,120,36,20.34,2020
-36,122,4,9.56,2020
-36,134,284,11.06,2020
-36,136,2751,60.41,2020
-36,138,694,15.98,2020
-36,140,701,15.19,2020
-36,142,1285,6.76,2020
-36,144,1121,6.97,2020
-36,146,5762,18.57,2020
-36,148,32676,21.03,2020
-36,150,10060,11.23,2020
-34,114,2106,4.1,2020
-34,116,11826,8.26,2020
-34,118,3759,25.35,2020
-34,120,5698,21,2020
-34,122,16470,27.58,2020
-34,124,3750,50.68,2020
-34,132,4,7.11,2020
-34,134,195,8.1,2020
-34,136,2447,3.4,2020
-34,138,204,6.68,2020
-34,140,114,14.67,2020
-34,142,319,10.81,2020
-34,144,309,4.52,2020
-34,146,1517,4.61,2020
-34,148,1894,10.26,2020
-34,150,7013,11.57,2020
-34,152,259,6.43,2020
-32,114,1654,20.04,2020
-32,116,2285,7.22,2020
-32,118,636,8.97,2020
-32,120,4852,16.18,2020
-32,122,2815,24.33,2020
-32,124,11,12.15,2020
-32,126,1,0.54,2020
-32,132,668,19.65,2020
-32,134,1,5.64,2020
-32,136,362,2.18,2020
-32,138,1,1.15,2020
-32,140,7,124.87,2020
-32,142,5,2.85,2020
-32,144,530,4.16,2020
-32,146,1376,4.51,2020
-32,148,2032,7.78,2020
-32,150,5637,7.4,2020
-32,152,2477,6.68,2020
-30,114,2185,25.29,2020
-30,116,139,8.77,2020
-30,120,19,7.21,2020
-30,122,304,15.14,2020
-30,124,1270,12.27,2020
-30,126,673,13.18,2020
-30,128,2732,16.8,2020
-30,130,358,19.5,2020
-30,134,4,5.17,2020
-30,138,1,1.05,2020
-30,140,89,3.87,2020
-30,142,17,6.32,2020
-30,144,46,3.84,2020
-30,146,639,5,2020
-30,148,2261,6.1,2020
-30,150,5187,7.1,2020
-30,152,3919,5.75,2020
-28,114,234,39.17,2020
-28,116,11,7.57,2020
-28,118,13,36.87,2020
-28,120,392,20.39,2020
-28,122,723,21.15,2020
-28,124,161,17.85,2020
-28,126,129,9.61,2020
-28,128,520,13.3,2020
-28,130,199,11.59,2020
-28,132,3,1.37,2020
-28,136,160,4.08,2020
-28,138,9,12.11,2020
-28,140,353,12.91,2020
-28,142,275,20.86,2020
-28,144,136,6.31,2020
-28,146,2506,8.21,2020
-28,148,6368,7.28,2020
-28,150,13849,7.15,2020
-28,152,4356,5.2,2020
-26,112,2,5.48,2020
-26,114,11,5.35,2020
-26,116,10,7.73,2020
-26,118,52,12.06,2020
-26,120,96,27.53,2020
-26,122,40,11.9,2020
-26,124,96,19.56,2020
-26,126,200,12.17,2020
-26,128,252,16.63,2020
-26,130,520,7.93,2020
-26,132,63,3.82,2020
-26,134,20,2.64,2020
-26,136,23,2.41,2020
-26,138,27,1.75,2020
-26,140,8,2.72,2020
-26,142,238,5.39,2020
-26,144,560,4.49,2020
-26,146,9888,8.43,2020
-26,148,15060,7.63,2020
-26,150,22007,7.04,2020
-26,152,10630,12.19,2020
-24,112,9,3.64,2020
-24,114,410,16.32,2020
-24,116,215,20.57,2020
-24,118,914,14.23,2020
-24,120,231,11.1,2020
-24,122,321,12.22,2020
-24,124,116,5.96,2020
-24,126,100,9.22,2020
-24,128,155,10.53,2020
-24,130,101,3.63,2020
-24,132,43,7.53,2020
-24,134,3,6.86,2020
-24,136,39,5.3,2020
-24,138,10,4.17,2020
-24,140,281,8.76,2020
-24,142,168,7.39,2020
-24,144,829,8.84,2020
-24,146,5814,8.43,2020
-24,148,8467,6.67,2020
-24,150,5793,5.52,2020
-22,114,1537,2.67,2020
-22,116,1682,7.77,2020
-22,118,4371,14.06,2020
-22,120,1136,13.29,2020
-22,122,301,5.21,2020
-22,124,193,10.54,2020
-22,126,173,11.9,2020
-22,128,81,7.73,2020
-22,130,106,20.99,2020
-22,132,12,7.48,2020
-22,134,316,15.57,2020
-22,136,198,53.14,2020
-22,138,2528,8.24,2020
-22,140,1710,13.19,2020
-22,142,681,8.01,2020
-22,144,5976,9.24,2020
-22,146,3049,10.46,2020
-22,148,3957,6.89,2020
-20,118,5,12.12,2020
-20,120,668,15.05,2020
-20,122,1310,11.48,2020
-20,124,2131,12.23,2020
-20,126,702,9.29,2020
-20,128,91,6.24,2020
-20,130,102,15.09,2020
-20,132,62,5.96,2020
-20,134,8,13.97,2020
-20,136,49,5.5,2020
-20,138,1020,7.19,2020
-20,140,914,9.25,2020
-20,142,10232,7.68,2020
-20,144,11485,7.56,2020
-20,146,3304,7.07,2020
-20,148,9,4.17,2020
-18,122,9362,12.49,2020
-18,124,12546,7.61,2020
-18,126,9515,6.84,2020
-18,128,4215,7.32,2020
-18,130,856,7.73,2020
-18,132,376,12.63,2020
-18,134,1550,13.7,2020
-18,136,12219,12.67,2020
-18,138,4771,10.32,2020
-18,140,3459,10.19,2020
-18,142,17246,9.82,2020
-18,144,16253,7.45,2020
-18,146,10,5.87,2020
-16,124,11494,8.23,2020
-16,126,20778,7.36,2020
-16,128,13788,7.69,2020
-16,130,20411,7.88,2020
-16,132,9128,7.43,2020
-16,134,8407,9.37,2020
-16,136,2761,9.5,2020
-16,140,5372,8.14,2020
-16,142,21358,7.78,2020
-16,144,20849,8.87,2020
-14,126,892,5.84,2020
-14,128,1509,12.18,2020
-14,130,31823,9.17,2020
-14,132,38930,7.36,2020
-14,134,32605,8.47,2020
-14,136,8399,8.6,2020
-14,140,7469,8.37,2020
-14,142,19965,7,2020
-12,118,8,10.42,2020
-12,120,948,6.38,2020
-12,122,1255,7.29,2020
-12,124,485,6.85,2020
-12,130,10570,9.89,2020
-12,132,8702,9.07,2020
-12,134,1137,6.89,2020
-12,136,1009,10.07,2020
-12,140,73,8.8,2020
-12,142,2901,7.78,2020
-10,112,1446,5.55,2020
-10,114,352,6.46,2020
-10,116,2941,8.39,2020
-10,118,5514,7.2,2020
-10,120,2776,6.65,2020
-10,122,2750,7.94,2020
-10,124,4873,6.28,2020
-10,126,141,6.77,2020
-10,128,104,7.64,2020
-10,130,439,6.72,2020
-10,136,556,5.88,2020
-10,138,1129,7.08,2020
-10,140,2185,6.64,2020
-10,142,1,5.02,2020
-44,144,30,12.12,2021
-44,146,1006,23.71,2021
-44,148,10,5.17,2021
-42,144,989,14.99,2021
-42,146,1462,9,2021
-42,148,176,14.29,2021
-40,140,175,4.74,2021
-40,142,1024,16.51,2021
-40,144,445,8.16,2021
-40,146,508,9.2,2021
-40,148,9,50.32,2021
-38,138,69,16.55,2021
-38,140,3455,16.49,2021
-38,142,4737,18.35,2021
-38,144,2900,12.08,2021
-38,146,3218,7.61,2021
-38,148,904,9.9,2021
-38,150,18,2.71,2021
-36,114,1661,10.24,2021
-36,116,2388,8.95,2021
-36,118,186,6.37,2021
-36,134,362,18.8,2021
-36,136,375,12.35,2021
-36,138,716,10.25,2021
-36,140,642,13.87,2021
-36,142,1059,8.91,2021
-36,144,2370,19.28,2021
-36,146,8152,17.68,2021
-36,148,2574,14.7,2021
-36,150,3132,3.27,2021
-34,114,1046,6.37,2021
-34,116,7957,7.97,2021
-34,118,518,9.48,2021
-34,120,573,15.34,2021
-34,122,1060,18.38,2021
-34,124,70,51.47,2021
-34,132,47,18.65,2021
-34,134,174,16.23,2021
-34,136,2354,3.63,2021
-34,138,252,11.11,2021
-34,140,147,8.17,2021
-34,142,1606,15.97,2021
-34,144,1002,7.32,2021
-34,146,7655,16.75,2021
-34,148,3470,13.13,2021
-34,150,1655,4.86,2021
-34,152,184,15.94,2021
-32,114,1511,22.87,2021
-32,116,4938,9.98,2021
-32,118,482,7.66,2021
-32,120,1772,10.14,2021
-32,122,2839,24.09,2021
-32,124,230,13.44,2021
-32,132,10,21,2021
-32,136,245,2.01,2021
-32,138,20,14.73,2021
-32,140,31,5.14,2021
-32,142,8,1.24,2021
-32,144,507,5.33,2021
-32,146,2636,6.81,2021
-32,148,2273,8.31,2021
-32,150,1775,5.22,2021
-32,152,1162,6.23,2021
-30,114,1160,12.28,2021
-30,116,154,5.04,2021
-30,118,3,1.82,2021
-30,120,124,6.07,2021
-30,122,186,19.21,2021
-30,124,401,18.95,2021
-30,126,95,17.35,2021
-30,128,2104,18.61,2021
-30,130,124,11.61,2021
-30,134,4,7.84,2021
-30,140,65,1.92,2021
-30,142,19,14.7,2021
-30,144,19,4.94,2021
-30,146,669,4.72,2021
-30,148,2459,5.66,2021
-30,150,2174,5.15,2021
-30,152,2253,5.16,2021
-28,112,8,8.07,2021
-28,114,28,7.7,2021
-28,116,1,5.2,2021
-28,118,9,7.91,2021
-28,120,122,8.15,2021
-28,122,263,14.82,2021
-28,124,524,13.12,2021
-28,126,166,12.1,2021
-28,128,66,5.36,2021
-28,130,2,13.15,2021
-28,132,17,20.69,2021
-28,136,1,0.46,2021
-28,138,1,0.09,2021
-28,140,204,15.01,2021
-28,142,3,2.83,2021
-28,144,227,9.04,2021
-28,146,2369,7.29,2021
-28,148,5784,7.53,2021
-28,150,8095,6.28,2021
-28,152,3703,5.91,2021
-26,112,7,2.74,2021
-26,114,13,7.17,2021
-26,116,22,22.87,2021
-26,118,5,12.18,2021
-26,120,5,4.95,2021
-26,122,652,13.04,2021
-26,124,103,6.79,2021
-26,126,771,8.2,2021
-26,128,865,17.27,2021
-26,130,840,8.33,2021
-26,132,15,5.65,2021
-26,134,503,9.61,2021
-26,136,13,4.85,2021
-26,138,4,4.13,2021
-26,140,7,3.74,2021
-26,142,65,4.27,2021
-26,144,780,8.12,2021
-26,146,2949,9.2,2021
-26,148,14057,7.65,2021
-26,150,8637,6.98,2021
-26,152,2993,6.53,2021
-24,114,802,16.81,2021
-24,116,1075,10.13,2021
-24,118,1662,9.99,2021
-24,120,844,13.47,2021
-24,122,380,18.77,2021
-24,124,88,10.8,2021
-24,126,9,5.05,2021
-24,128,418,11.52,2021
-24,130,2921,12.29,2021
-24,132,3035,12.3,2021
-24,134,1501,15.22,2021
-24,136,214,24.15,2021
-24,138,24,4.28,2021
-24,140,202,15.79,2021
-24,142,105,10.44,2021
-24,144,1345,9.38,2021
-24,146,4751,7.41,2021
-24,148,4312,6.82,2021
-24,150,6410,5.91,2021
-22,114,1571,3.13,2021
-22,116,3936,13.28,2021
-22,118,6203,16.35,2021
-22,120,2212,18.14,2021
-22,122,1744,11.67,2021
-22,124,1581,16.88,2021
-22,126,579,10.03,2021
-22,128,506,16.38,2021
-22,130,53,10.29,2021
-22,132,122,13.34,2021
-22,134,91,7.97,2021
-22,136,900,24.41,2021
-22,138,2647,7.79,2021
-22,140,1798,11.69,2021
-22,142,666,11.54,2021
-22,144,5196,8.93,2021
-22,146,2652,5.78,2021
-22,148,3787,6.17,2021
-22,150,23,4,2021
-20,120,2257,14.37,2021
-20,122,8232,16.43,2021
-20,124,9715,12.22,2021
-20,126,14410,16.82,2021
-20,128,10828,16.9,2021
-20,130,4598,11.34,2021
-20,132,359,9.84,2021
-20,134,203,7.07,2021
-20,136,209,10.22,2021
-20,138,2078,9.9,2021
-20,140,1915,10.77,2021
-20,142,13786,9.88,2021
-20,144,7256,8.77,2021
-20,146,2883,8.87,2021
-20,148,22,6.17,2021
-18,122,26973,14.53,2021
-18,124,18937,8.54,2021
-18,126,16151,8.07,2021
-18,128,7173,8.05,2021
-18,130,6529,10,2021
-18,132,7466,10.72,2021
-18,134,8422,12.41,2021
-18,136,25427,10.61,2021
-18,138,6401,9.1,2021
-18,140,3287,9.2,2021
-18,142,18415,10.15,2021
-18,144,9166,7.15,2021
-18,146,5,4.84,2021
-16,124,15473,8.19,2021
-16,126,28070,8.97,2021
-16,128,21599,8.6,2021
-16,130,39892,8.82,2021
-16,132,26386,8.52,2021
-16,134,23898,10.37,2021
-16,136,3549,8.79,2021
-16,140,5742,8.44,2021
-16,142,21176,7.26,2021
-16,144,9670,7.5,2021
-14,126,116,9.7,2021
-14,128,1697,12.85,2021
-14,130,31451,9.37,2021
-14,132,38623,7.79,2021
-14,134,30149,8.64,2021
-14,136,9426,8.65,2021
-14,140,6234,8.76,2021
-14,142,17231,7.71,2021
-12,118,4,4.66,2021
-12,120,703,5.5,2021
-12,122,730,5.58,2021
-12,124,300,6.2,2021
-12,130,13320,9.18,2021
-12,132,9968,9.12,2021
-12,134,628,5.92,2021
-12,136,38,19,2021
-12,140,22,6.17,2021
-12,142,3759,11.14,2021
-10,112,922,4.22,2021
-10,114,288,4.81,2021
-10,116,2146,8.28,2021
-10,118,4815,7.67,2021
-10,120,2456,5.85,2021
-10,122,2287,6.39,2021
-10,124,3309,6.88,2021
-10,126,99,5.61,2021
-10,128,66,5.4,2021
-10,130,266,6.31,2021
-10,136,27,6.17,2021
-10,138,209,5.61,2021
-10,140,517,6.03,2021
-10,142,3,4.02,2021
-44,144,121,18.81,2022
-44,146,1027,12.44,2022
-44,148,13,5.47,2022
-42,142,1,1.45,2022
-42,144,774,7.18,2022
-42,146,1620,7.36,2022
-42,148,218,7.54,2022
-40,140,206,6.86,2022
-40,142,844,10.26,2022
-40,144,338,7.69,2022
-40,146,458,6.25,2022
-40,148,1,0.78,2022
-38,138,27,5.99,2022
-38,140,2455,14.88,2022
-38,142,4430,18.92,2022
-38,144,3039,12.16,2022
-38,146,1890,10.25,2022
-38,148,478,8.35,2022
-38,150,4,3,2022
-36,114,1497,19.5,2022
-36,116,3601,12.82,2022
-36,118,811,19.27,2022
-36,134,208,10.79,2022
-36,136,418,13.62,2022
-36,138,531,9.45,2022
-36,140,235,8.87,2022
-36,142,729,7.19,2022
-36,144,2309,17.27,2022
-36,146,6703,18.76,2022
-36,148,1379,14.03,2022
-36,150,2087,2.79,2022
-34,114,3228,6.82,2022
-34,116,12207,9.84,2022
-34,118,1545,9.35,2022
-34,120,688,10.75,2022
-34,122,439,11.85,2022
-34,132,13,8.81,2022
-34,134,345,55.57,2022
-34,136,2048,3,2022
-34,138,193,10.56,2022
-34,140,107,11.4,2022
-34,142,83,6.15,2022
-34,144,568,12.11,2022
-34,146,4070,16.33,2022
-34,148,1679,14.17,2022
-34,150,680,3,2022
-34,152,66,5.25,2022
-32,114,2121,20.96,2022
-32,116,6472,9.98,2022
-32,118,1209,17.37,2022
-32,120,2581,11.44,2022
-32,122,116,15.39,2022
-32,124,352,35.99,2022
-32,130,138,13.2,2022
-32,132,3,2.6,2022
-32,134,133,35.52,2022
-32,136,788,3.9,2022
-32,138,34,71.38,2022
-32,140,3,3.19,2022
-32,144,171,5.38,2022
-32,146,1674,16.43,2022
-32,148,1522,14.13,2022
-32,150,1533,6.31,2022
-32,152,730,9.49,2022
-30,114,1606,10.39,2022
-30,116,521,9.12,2022
-30,118,221,20.97,2022
-30,120,394,21.14,2022
-30,122,11,18.75,2022
-30,124,15,7.12,2022
-30,126,46,8.81,2022
-30,128,759,10.21,2022
-30,130,39,39.97,2022
-30,132,41,3.2,2022
-30,134,20,3.88,2022
-30,136,1,9.93,2022
-30,140,125,2.94,2022
-30,144,12,2.32,2022
-30,146,135,4.88,2022
-30,148,1643,7.58,2022
-30,150,2501,8.85,2022
-30,152,1325,5.78,2022
-28,112,4,0.91,2022
-28,114,1108,24.62,2022
-28,116,3,1.64,2022
-28,118,18,10.71,2022
-28,120,90,31.23,2022
-28,122,58,17,2022
-28,124,51,8.86,2022
-28,126,6,6.94,2022
-28,128,309,13.54,2022
-28,130,391,9.29,2022
-28,132,248,12.49,2022
-28,134,13,19.83,2022
-28,136,8,5.47,2022
-28,140,22,1.02,2022
-28,142,6,2.36,2022
-28,144,62,6.43,2022
-28,146,1405,7.96,2022
-28,148,2311,6.9,2022
-28,150,4066,7.94,2022
-28,152,2476,6.3,2022
-26,112,5,5.02,2022
-26,114,9065,18.81,2022
-26,116,4,11.46,2022
-26,118,26,3.79,2022
-26,120,1,1.53,2022
-26,122,277,14.04,2022
-26,124,45,5.68,2022
-26,126,133,13.71,2022
-26,128,3949,15.32,2022
-26,130,6949,11.35,2022
-26,132,3320,11.1,2022
-26,134,19,16.31,2022
-26,136,15,5.13,2022
-26,142,76,1.84,2022
-26,144,1049,9.86,2022
-26,146,1903,8.56,2022
-26,148,2629,6.98,2022
-26,150,7518,6.43,2022
-26,152,1887,6.23,2022
-24,112,333,9.48,2022
-24,114,1931,15.37,2022
-24,116,863,11.16,2022
-24,118,1016,18.06,2022
-24,120,559,20.19,2022
-24,122,272,13.42,2022
-24,124,530,20.38,2022
-24,126,131,7.8,2022
-24,128,2169,14.98,2022
-24,130,11822,16.2,2022
-24,132,10493,12.84,2022
-24,134,3298,9.79,2022
-24,136,21,29.43,2022
-24,138,18,27,2022
-24,140,199,4.07,2022
-24,142,16,4.21,2022
-24,144,1296,9.57,2022
-24,146,3881,8.36,2022
-24,148,2778,5.32,2022
-24,150,4674,5.71,2022
-22,114,1423,2.98,2022
-22,116,4492,14.48,2022
-22,118,3563,15.89,2022
-22,120,2197,16.19,2022
-22,122,1966,16.68,2022
-22,124,2943,16.23,2022
-22,126,832,10.94,2022
-22,128,1768,21.75,2022
-22,130,1254,21.51,2022
-22,132,968,10.26,2022
-22,134,172,12.92,2022
-22,136,3,3.15,2022
-22,138,2737,10.34,2022
-22,140,1147,7.81,2022
-22,142,995,11.04,2022
-22,144,2295,7.91,2022
-22,146,3418,6.37,2022
-22,148,3220,5.22,2022
-20,118,1,4.31,2022
-20,120,1018,7.74,2022
-20,122,12395,13.8,2022
-20,124,14175,17.48,2022
-20,126,8784,17.05,2022
-20,128,8294,15.04,2022
-20,130,4245,16.1,2022
-20,132,1372,11.72,2022
-20,134,119,10.05,2022
-20,136,2311,10.15,2022
-20,138,2889,8.9,2022
-20,140,1473,10.07,2022
