"lat_bin","lon_bin","fire_count","avg_frp"
-44,144,80,19.29
-44,146,1868,19.72
-44,148,13,3.27
-42,142,3,4.28
-42,144,1367,13.16
-42,146,2176,11.03
-42,148,300,12.82
-40,140,116,19.84
-40,142,723,12.7
-40,144,311,6.94
-40,146,792,5.88
-40,148,2,2.55
-38,138,30,5.87
-38,140,3679,16.82
-38,142,11315,22.39
-38,144,3312,12.99
-38,146,4899,6.2
-38,148,1138,7.8
-38,150,53,6.38
-36,114,880,18.25
-36,116,4451,20.14
-36,118,1109,23.23
-36,134,324,27.77
-36,136,500,16.03
-36,138,825,10.28
-36,140,637,12.47
-36,142,1811,11.61
-36,144,3235,21.44
-36,146,7692,17.78
-36,148,2307,12.21
-36,150,2330,2.95
-34,114,1934,8.16
-34,116,8450,10.09
-34,118,1042,13.02
-34,120,861,10.6
-34,122,1436,30.94
-34,124,4,6.14
-34,132,3,5.28
-34,134,276,8.36
-34,136,749,4.63
-34,138,337,10.37
-34,140,194,16.92
-34,142,459,12.53
-34,144,689,6.33
-34,146,2604,8.99
-34,148,2781,12.83
-34,150,1278,6.51
-34,152,116,5.85
-32,114,3777,44.42
-32,116,3114,10.45
-32,118,530,8.82
-32,120,1920,14.74
-32,122,16,3.4
-32,124,13,10.17
-32,126,7,2.05
-32,130,26,14.12
-32,132,201,12.07
-32,134,3,3.57
-32,136,489,3.58
-32,138,4,6.01
-32,140,7,63.99
-32,144,400,5.29
-32,146,2304,7.36
-32,148,2427,8.21
-32,150,2823,5.5
-32,152,1873,4.74
-30,114,1054,16.24
-30,116,103,5.08
-30,118,116,32.84
-30,120,45,8.78
-30,122,246,10.27
-30,124,13,4.36
-30,126,104,9.79
-30,128,182,18.08
-30,130,225,22.57
-30,134,5,5.37
-30,136,9,3.04
-30,138,2,5.18
-30,140,52,6.33
-30,142,1,2.54
-30,144,16,4.14
-30,146,1128,8.69
-30,148,3426,5.85
-30,150,4369,8.17
-30,152,4432,5.12
-28,114,17,4.35
-28,118,75,13.97
-28,120,311,8.18
-28,122,13,11.24
-28,124,244,16.57
-28,126,15,9.57
-28,128,155,10.76
-28,130,892,26.33
-28,132,50,10.69
-28,134,25,4.88
-28,136,102,4.58
-28,138,288,23.94
-28,140,741,15.81
-28,142,46,5.02
-28,144,515,5.98
-28,146,3079,9.69
-28,148,6510,8.48
-28,150,9118,6.82
-28,152,4375,5.27
-26,112,13,3.9
-26,114,35,6.02
-26,116,48,4.55
-26,118,64,13.07
-26,120,72,25.58
-26,122,258,18.11
-26,124,143,10.09
-26,126,81,35.33
-26,128,159,14.5
-26,130,477,11.06
-26,132,312,14.72
-26,134,83,7.01
-26,136,16,4.5
-26,138,282,14.72
-26,140,153,14.67
-26,142,240,9.33
-26,144,776,5.35
-26,146,19579,8.45
-26,148,11932,7.78
-26,150,17119,7.14
-26,152,2453,5.69
-24,114,354,14.59
-24,116,1393,15.33
-24,118,1584,12.13
-24,120,1895,17.18
-24,122,2301,26.07
-24,124,1244,18.86
-24,126,1381,20.41
-24,128,459,14.11
-24,130,662,9.95
-24,132,1138,9.31
-24,134,855,11.33
-24,136,30,6.59
-24,138,26,5.98
-24,140,309,13.12
-24,142,178,9.82
-24,144,2420,9.05
-24,146,14333,8.38
-24,148,7615,7.5
-24,150,6182,5.87
-22,114,1478,3.54
-22,116,3054,10.81
-22,118,3962,16.75
-22,120,3286,13.98
-22,122,954,16.39
-22,124,1095,22.86
-22,126,3894,16.56
-22,128,2018,19.91
-22,130,3253,16.39
-22,132,5064,14.08
-22,134,24214,16.67
-22,136,6075,10.31
-22,138,17179,13.97
-22,140,12413,14.92
-22,142,3305,12.15
-22,144,18720,9.25
-22,146,6030,8.88
-22,148,6635,7.1
-22,150,28,10.01
-20,120,1037,16.54
-20,122,3412,11.17
-20,124,3769,11.14
-20,126,9428,10.73
-20,128,9450,12.08
-20,130,7868,12.5
-20,132,16546,13.8
-20,134,12774,12.5
-20,136,5242,13.19
-20,138,24381,14.08
-20,140,4537,11.72
-20,142,24612,9.81
-20,144,8433,8.63
-20,146,2691,7.98
-20,148,6,3.65
-18,122,8639,12.26
-18,124,17212,6.83
-18,126,12528,8.12
-18,128,20322,10.06
-18,130,12662,11.5
-18,132,18070,12.52
-18,134,19312,14.74
-18,136,22735,11.52
-18,138,4010,11.21
-18,140,2868,11.56
-18,142,18249,8.77
-18,144,15081,7.44
-18,146,4,6.31
-16,124,14832,7.72
-16,126,25676,7.45
-16,128,14567,7.98
-16,130,26524,7.93
-16,132,22362,9.61
-16,134,22764,10.77
-16,136,6110,11.87
-16,140,3931,7.96
-16,142,19304,7.48
-16,144,7766,6.86
-14,126,422,8.77
-14,128,1324,10.64
-14,130,25456,10.17
-14,132,39891,8.46
-14,134,32425,8.86
-14,136,7206,8.73
-14,140,6354,9.3
-14,142,10531,7.52
-12,118,1,5.65
-12,120,1000,6.1
-12,122,634,5.56
-12,124,240,5.47
-12,130,7466,7.77
-12,132,6708,8.76
-12,134,877,7.41
-12,136,36,6.62
-12,140,342,8.02
-12,142,6249,11.18
-10,112,1234,5.61
-10,114,503,6.53
-10,116,2350,6.92
-10,118,4503,7.01
-10,120,2641,6.48
-10,122,3763,7.85
-10,124,3955,6.4
-10,126,90,5.18
-10,128,56,7.4
-10,130,324,6.59
-10,136,730,6.9
-10,138,412,5.81
-10,140,1263,7.68
-10,142,31,8.79
